coin,symbol,contract,decimals
Chainlink,LINK,0x514910771af9ca656af840dff83e8264ecf986ca,18
Zilliqa,ZIL,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,12
Uniswap,UNI,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,18
yearn.finance,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,18
VeChain,VEN,0xd850942ef8811f2a866692a623011bde52a462c1,18
Graph ,GRT,0xc944e90c64b2c07662a292be6244bdf05cda44a7,18
OMG,OMG,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,18
1INCH,1INCH,0x111111111117dc0aa78b770fa6a738034120c302,18
Synthetix,SNX,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,18
BAT,BAT,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18
Theta,THETA,0x3883f5e181fccaf8410fa61e12b59bad963fb645,18
Compound,COMP,0xc00e94cb662c3520282e6f5717214004a7f26888,18
Bancor,BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,18
BandToken,BAND,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,18
ZRX,ZRX,0xe41d2489571d322189246dafa5ebde1f4699f498,18
Celsius,CEL,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,4
Ocean,OCEAN,0x967da4048cD07aB37855c090aAF366e4ce1b9F48,18
Swipe,SXP,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,18
Balancer,BAL,0xba100000625a3754423978a60c9317c58a424e3d,18
Aragon,ANT,0xa117000000f279d81a1d3cc75430faa017fa5a2e,18
Golem,GLM,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,18
UniBright,UBT,0x8400d94a5cb0fa0d041a3788e395285d61c9ee5e,8
ELF,ELF,0xbf2179859fc6d5bee9bf9158632dc51678a4100e,18
Storj,STORJ,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,8
PowerLedger,POWR,0x595832f8fc6bf59c85c527fec3740a1b7a361269,6
Rocket,RPL,0xb4efd85c19999d84251304bda99e90b92300bd93,18
AION,AION,0x4CEdA7906a5Ed2179785Cd3A40A69ee8bc99C466,8
OriginTrail,TRAC,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,18
Sandbox,SAND,0x3845badAde8e6dFF049820680d1F14bD3903a5d0,18
Nuls,NULS,0xa2791bdf2d5055cda4d46ec17f9f429568275047,8
Lambda,LAMB,0x8971f9fd7196e5cee2c1032b50f656855af7dd26,18
Cashaa,CAS,0xe8780b48bdb05f928697a5e8155f672ed91462f7,18
Endor,EDR,0xc528c28fec0a90c083328bc45f587ee215760a0f,18
Pluton,PLU,0xD8912C10681D8B21Fd3742244f44658dBA12264E,18
Aave,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,18
UMA,UMA,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,18
SwissBorg,CHSB,0xba9d4199fab4f26efe3551d490e3821486f135ba,8
Numeraire,NMR,0x1776e1f26f98b1a5df9cd347953a26dd3cb46671,18
Augur,REP,0x221657776846890989a759ba2973e427dff5c9bb,18
PARSIQ,PRQ,0x362bc847a3a9637d3af6624eec853618a43ed7d2,18
NuCypher,NU,0x4fe83213d56308330ec302a8bd641f1d0113a4cc,18
UTRUST,UTK,0xdc9ac3c20d1ed0b540df9b1fedc10039df13f99c,18
Injective,INJ,0xe28b3b32b6c345a34ff64674606124dd5aceca30,18
Trustswap,SWAP,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,18
Polkastarter,POLS,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,18
Akropolis,AKRO,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,18
Quantstamp,QSP,0x99ea4db9ee77acd40b119bd1dc4e33e1c070b80d,18
DuckDaoDime,DDIM,0xfbeea1c75e4c4465cb2fccc9c6d6afe984558e20,18
Aleph.im,ALEPH,0x27702a26126e0b3702af63ee09ac4d1a084ef628,18
